,super_secret_index,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
63,63,6.1,2.9,4.7,1.4,versicolor
64,64,5.6,2.9,3.6,1.3,versicolor
65,65,6.7,3.1,4.4,1.4,versicolor
66,66,5.6,3.0,4.5,1.5,versicolor
67,67,5.8,2.7,4.1,1.0,versicolor
68,68,6.2,2.2,4.5,1.5,versicolor
69,69,5.6,2.5,3.9,1.1,versicolor
70,70,5.9,3.2,4.8,1.8,versicolor
71,71,6.1,2.8,4.0,1.3,versicolor
72,72,6.3,2.5,4.9,1.5,versicolor
73,73,6.1,2.8,4.7,1.2,versicolor
74,74,6.4,2.9,4.3,1.3,versicolor
75,75,6.6,3.0,4.4,1.4,versicolor
76,76,6.8,2.8,4.8,1.4,versicolor
77,77,6.7,3.0,5.0,1.7,versicolor
78,78,6.0,2.9,4.5,1.5,versicolor
79,79,5.7,2.6,3.5,1.0,versicolor
80,80,5.5,2.4,3.8,1.1,versicolor
81,81,5.5,2.4,3.7,1.0,versicolor
82,82,5.8,2.7,3.9,1.2,versicolor
83,83,6.0,2.7,5.1,1.6,versicolor
84,84,5.4,3.0,4.5,1.5,versicolor
85,85,6.0,3.4,4.5,1.6,versicolor
86,86,6.7,3.1,4.7,1.5,versicolor
87,87,6.3,2.3,4.4,1.3,versicolor
88,88,5.6,3.0,4.1,1.3,versicolor
89,89,5.5,2.5,4.0,1.3,versicolor
90,90,5.5,2.6,4.4,1.2,versicolor
91,91,6.1,3.0,4.6,1.4,versicolor
92,92,5.8,2.6,4.0,1.2,versicolor
93,93,5.0,2.3,3.3,1.0,versicolor
94,94,5.6,2.7,4.2,1.3,versicolor
95,95,5.7,3.0,4.2,1.2,versicolor
96,96,5.7,2.9,4.2,1.3,versicolor
97,97,6.2,2.9,4.3,1.3,versicolor
98,98,5.1,2.5,3.0,1.1,versicolor
99,99,5.7,2.8,4.1,1.3,versicolor
100,100,6.3,3.3,6.0,2.5,virginica
101,101,5.8,2.7,5.1,1.9,virginica
102,102,7.1,3.0,5.9,2.1,virginica
103,103,6.3,2.9,5.6,1.8,virginica
104,104,6.5,3.0,5.8,2.2,virginica
105,105,7.6,3.0,6.6,2.1,virginica
106,106,4.9,2.5,4.5,1.7,virginica
107,107,7.3,2.9,6.3,1.8,virginica
108,108,6.7,2.5,5.8,1.8,virginica
109,109,7.2,3.6,6.1,2.5,virginica
110,110,6.5,3.2,5.1,2.0,virginica
111,111,6.4,2.7,5.3,1.9,virginica
112,112,6.8,3.0,5.5,2.1,virginica
113,113,5.7,2.5,5.0,2.0,virginica
114,114,5.8,2.8,5.1,2.4,virginica
115,115,6.4,3.2,5.3,2.3,virginica
116,116,6.5,3.0,5.5,1.8,virginica
117,117,7.7,3.8,6.7,2.2,virginica
118,118,7.7,2.6,6.9,2.3,virginica
119,119,6.0,2.2,5.0,1.5,virginica
120,120,6.9,3.2,5.7,2.3,virginica
121,121,5.6,2.8,4.9,2.0,virginica
122,122,7.7,2.8,6.7,2.0,virginica
123,123,6.3,2.7,4.9,1.8,virginica
124,124,6.7,3.3,5.7,2.1,virginica
125,125,7.2,3.2,6.0,1.8,virginica
126,126,6.2,2.8,4.8,1.8,virginica
127,127,6.1,3.0,4.9,1.8,virginica
128,128,6.4,2.8,5.6,2.1,virginica
129,129,7.2,3.0,5.8,1.6,virginica
130,130,7.4,2.8,6.1,1.9,virginica
131,131,7.9,3.8,6.4,2.0,virginica
132,132,6.4,2.8,5.6,2.2,virginica
133,133,6.3,2.8,5.1,1.5,virginica
134,134,6.1,2.6,5.6,1.4,virginica
135,135,7.7,3.0,6.1,2.3,virginica
136,136,6.3,3.4,5.6,2.4,virginica
137,137,6.4,3.1,5.5,1.8,virginica
138,138,6.0,3.0,4.8,1.8,virginica
139,139,6.9,3.1,5.4,2.1,virginica
140,140,6.7,3.1,5.6,2.4,virginica
141,141,6.9,3.1,5.1,2.3,virginica
142,142,5.8,2.7,5.1,1.9,virginica
143,143,6.8,3.2,5.9,2.3,virginica
144,144,6.7,3.3,5.7,2.5,virginica
145,145,6.7,3.0,5.2,2.3,virginica
146,146,6.3,2.5,5.0,1.9,virginica
147,147,6.5,3.0,5.2,2.0,virginica
148,148,6.2,3.4,5.4,2.3,virginica
149,149,5.9,3.0,5.1,1.8,virginica
